experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp07,sci_easy,solo,0,S,1,Text 'TERMINATE' mentioned,17.11,75,336,411,2,1,keyword,,,
exp07,sci_easy,solo,1,S,1,Text 'TERMINATE' mentioned,16.16,75,350,425,2,1,keyword,,,
exp07,sci_easy,solo,2,S,1,Text 'TERMINATE' mentioned,16.89,75,302,377,2,1,keyword,,,
exp07,sci_med,solo,0,S,1,Text 'TERMINATE' mentioned,18.7,80,545,625,2,1,keyword,,,
exp07,sci_med,solo,1,S,1,Text 'TERMINATE' mentioned,18.16,80,563,643,2,1,keyword,,,
exp07,sci_med,solo,2,S,1,Text 'TERMINATE' mentioned,19.06,80,517,597,2,1,keyword,,,
exp07,sci_hard,solo,0,S,1,Text 'TERMINATE' mentioned,48.77,104,3972,4076,2,1,keyword,,,
exp07,sci_hard,solo,1,S,1,Text 'TERMINATE' mentioned,49.94,104,4252,4356,2,1,keyword,,,
exp07,sci_hard,solo,2,S,1,Text 'TERMINATE' mentioned,52.5,104,4301,4405,2,1,keyword,,,
exp07,cs_easy,solo,0,S,1,Text 'TERMINATE' mentioned,16.97,73,457,530,2,1,keyword,,,
exp07,cs_easy,solo,1,S,1,Text 'TERMINATE' mentioned,18.48,73,585,658,2,1,keyword,,,
exp07,cs_easy,solo,2,S,1,Text 'TERMINATE' mentioned,18.06,73,452,525,2,1,keyword,,,
exp07,cs_med,solo,0,S,1,Text 'TERMINATE' mentioned,21.66,82,915,997,2,1,keyword,,,
exp07,cs_med,solo,1,S,1,Text 'TERMINATE' mentioned,21.05,82,849,931,2,1,keyword,,,
exp07,cs_med,solo,2,S,1,Text 'TERMINATE' mentioned,20.29,82,715,797,2,1,keyword,,,
exp07,cs_hard,solo,0,S,1,Text 'TERMINATE' mentioned,107.11,113,15446,15559,2,1,keyword,,,
exp07,cs_hard,solo,1,S,1,Text 'TERMINATE' mentioned,115.07,113,14101,14214,2,1,keyword,,,
exp07,cs_hard,solo,2,S,1,Text 'TERMINATE' mentioned,89.55,113,12221,12334,2,1,keyword,,,
exp07,hist_easy,solo,0,S,1,Text 'TERMINATE' mentioned,15.85,68,271,339,2,1,keyword,,,
exp07,hist_easy,solo,1,S,1,Text 'TERMINATE' mentioned,16.18,68,280,348,2,1,keyword,,,
exp07,hist_easy,solo,2,S,1,Text 'TERMINATE' mentioned,16.66,68,292,360,2,1,keyword,,,
exp07,hist_med,solo,0,S,1,Text 'TERMINATE' mentioned,19.44,81,624,705,2,1,keyword,,,
exp07,hist_med,solo,1,S,1,Text 'TERMINATE' mentioned,21.04,81,660,741,2,1,keyword,,,
exp07,hist_med,solo,2,S,1,Text 'TERMINATE' mentioned,18.11,81,459,540,2,1,keyword,,,
exp07,hist_hard,solo,0,S,1,Text 'TERMINATE' mentioned,37.3,108,2035,2143,2,1,keyword,,,
exp07,hist_hard,solo,1,S,1,Text 'TERMINATE' mentioned,41.15,108,2381,2489,2,1,keyword,,,
exp07,hist_hard,solo,2,S,1,Text 'TERMINATE' mentioned,38.6,108,2222,2330,2,1,keyword,,,
exp07,eng_easy,solo,0,S,1,Text 'TERMINATE' mentioned,16.54,73,309,382,2,1,keyword,,,
exp07,eng_easy,solo,1,S,1,Text 'TERMINATE' mentioned,16.8,73,324,397,2,1,keyword,,,
exp07,eng_easy,solo,2,S,1,Text 'TERMINATE' mentioned,15.83,73,307,380,2,1,keyword,,,
exp07,eng_med,solo,0,S,1,Text 'TERMINATE' mentioned,26.71,85,1671,1756,2,1,keyword,,,
exp07,eng_med,solo,1,S,1,Text 'TERMINATE' mentioned,31.68,85,1886,1971,2,1,keyword,,,
exp07,eng_med,solo,2,S,1,Text 'TERMINATE' mentioned,26.21,85,1448,1533,2,1,keyword,,,
exp07,eng_hard,solo,0,S,1,Text 'TERMINATE' mentioned,51.94,110,4036,4146,2,1,keyword,,,
exp07,eng_hard,solo,1,S,1,Text 'TERMINATE' mentioned,42.74,110,3007,3117,2,1,keyword,,,
exp07,eng_hard,solo,2,S,1,Text 'TERMINATE' mentioned,49.0,110,3444,3554,2,1,keyword,,,
