pattern,category,n_runs,convergence_rate_pct,mean_cosine,final_cosine,avg_convergence_turn,trend_cosine,mean_jaccard
rr3,A,25,16.0,0.576,0.690,3.0,+0.250,0.007
sel3,B1,25,24.0,0.403,0.602,3.0,+0.397,0.004
sel4,B1,25,28.0,0.502,0.661,3.6,+0.382,0.004
swm3,B2,25,8.0,0.458,0.132,7.0,-0.560,0.134
swm4,B2,25,16.0,0.485,0.453,15.5,-0.029,0.130
refl2,C,25,0.0,0.462,0.479,N/A,+0.052,0.005
debate3,C,25,0.0,0.673,0.681,N/A,+0.044,0.006
pipe,D,25,32.0,0.662,0.688,3.9,+0.169,0.012
