pattern,category,mean_jaccard,mean_cosine,jaccard_conv_rate,cosine_conv_rate_080,cosine_conv_rate_085,cosine_conv_rate_090
rr3,A,0.007,0.576,0.0,24.0,16.0,8.0
sel3,B1,0.004,0.403,0.0,32.0,24.0,16.0
sel4,B1,0.004,0.502,0.0,44.0,28.0,12.0
swm3,B2,0.134,0.458,0.0,8.0,8.0,8.0
swm4,B2,0.130,0.485,0.0,24.0,16.0,12.0
refl2,C,0.005,0.462,0.0,8.0,0.0,0.0
debate3,C,0.006,0.673,0.0,12.0,0.0,0.0
pipe,D,0.012,0.662,0.0,36.0,32.0,8.0
