run_index,pattern,task_id,repeat,sdk_calls,total_duration,total_tokens_in,total_tokens_out,total_tokens,error
104,rr3,anal_05,2,3,77.4,5250,4901,10151,False
105,rr3,tech_01,0,1,58.4,66,9729,9795,True
106,rr3,tech_01,1,1,66.3,66,10926,10992,True
107,rr3,tech_01,2,1,53.0,66,8083,8149,True
108,rr3,tech_02,0,3,115.6,69,13377,13446,False
109,rr3,tech_02,1,3,98.5,69,10507,10576,False
110,rr3,tech_02,2,2,97.3,66,12803,12869,True
111,rr3,tech_03,0,3,90.1,3146,8530,11676,False
112,rr3,tech_03,1,3,91.0,72,8937,9009,False
113,rr3,tech_03,2,3,120.80000000000001,72,11704,11776,False
114,rr3,tech_04,0,3,88.30000000000001,4152,7771,11923,False
115,rr3,tech_04,1,3,86.2,4000,7587,11587,False
116,rr3,tech_04,2,4,147.4,73,15195,15268,True
117,rr3,tech_05,0,1,56.6,70,8540,8610,True
118,rr3,tech_05,1,2,79.6,73,9918,9991,True
119,rr3,tech_05,2,2,78.6,73,8897,8970,True
120,rr4,fact_01,0,4,108.39999999999999,3039,6228,9267,False
121,rr4,fact_01,1,4,101.8,2556,5420,7976,False
122,rr4,fact_01,2,4,105.5,3004,5941,8945,False
123,rr4,fact_02,0,4,92.6,6455,4591,11046,False
124,rr4,fact_02,1,4,88.9,5707,4244,9951,False
125,rr4,fact_02,2,4,102.5,5954,5084,11038,False
126,rr4,fact_03,0,4,110.5,5352,8620,13972,False
127,rr4,fact_03,1,4,96.60000000000001,4021,6164,10185,False
128,rr4,fact_03,2,4,111.0,4546,8502,13048,False
129,rr4,fact_04,0,4,106.19999999999999,3576,6507,10083,False
130,rr4,fact_04,1,4,100.4,3689,5382,9071,False
131,rr4,fact_04,2,4,98.0,3272,5305,8577,False
132,rr4,fact_05,0,4,118.1,5156,8175,13331,False
133,rr4,fact_05,1,2,51.8,1588,3193,4781,False
