experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp01,sci_01,solo,0,S,1,Text 'TERMINATE' mentioned,12.61,53,550,603,2,1,keyword,,,
exp01,sci_02,solo,0,S,1,Text 'TERMINATE' mentioned,12.51,64,677,741,2,1,keyword,,,
exp01,sci_03,solo,0,S,1,Text 'TERMINATE' mentioned,10.55,62,541,603,2,1,keyword,,,
exp01,cs_01,solo,0,S,1,Text 'TERMINATE' mentioned,10.27,56,591,647,2,1,keyword,,,
exp01,cs_02,solo,0,S,1,Text 'TERMINATE' mentioned,17.06,63,938,1001,2,1,keyword,,,
exp01,cs_03,solo,0,S,1,Text 'TERMINATE' mentioned,14.59,60,755,815,2,1,keyword,,,
exp01,hist_01,solo,0,S,1,Text 'TERMINATE' mentioned,10.25,58,610,668,2,1,keyword,,,
exp01,hist_02,solo,0,S,1,Text 'TERMINATE' mentioned,10.47,61,633,694,2,1,keyword,,,
exp01,hist_03,solo,0,S,1,Text 'TERMINATE' mentioned,9.99,63,655,718,2,1,keyword,,,
exp01,phil_01,solo,0,S,1,Text 'TERMINATE' mentioned,10.24,63,550,613,2,1,keyword,,,
exp01,phil_02,solo,0,S,1,Text 'TERMINATE' mentioned,12.38,65,615,680,2,1,keyword,,,
exp01,phil_03,solo,0,S,1,Text 'TERMINATE' mentioned,9.06,58,522,580,2,1,keyword,,,
exp01,law_01,solo,0,S,1,Text 'TERMINATE' mentioned,8.78,58,528,586,2,1,keyword,,,
exp01,law_02,solo,0,S,1,Text 'TERMINATE' mentioned,12.55,67,705,772,2,1,keyword,,,
exp01,law_03,solo,0,S,1,Text 'TERMINATE' mentioned,11.13,58,765,823,2,1,keyword,,,
exp01,game_01,solo,0,S,1,Text 'TERMINATE' mentioned,9.43,68,529,597,2,1,keyword,,,
exp01,game_02,solo,0,S,1,Text 'TERMINATE' mentioned,12.29,63,771,834,2,1,keyword,,,
exp01,game_03,solo,0,S,1,Text 'TERMINATE' mentioned,10.05,62,564,626,2,1,keyword,,,
exp01,eng_01,solo,0,S,1,Text 'TERMINATE' mentioned,9.19,63,564,627,2,1,keyword,,,
exp01,eng_02,solo,0,S,1,Text 'TERMINATE' mentioned,12.75,65,805,870,2,1,keyword,,,
exp01,eng_03,solo,0,S,1,Text 'TERMINATE' mentioned,9.47,66,540,606,2,1,keyword,,,
exp01,biz_01,solo,0,S,1,Text 'TERMINATE' mentioned,16.19,59,706,765,2,1,keyword,,,
exp01,biz_02,solo,0,S,1,Text 'TERMINATE' mentioned,12.51,63,597,660,2,1,keyword,,,
exp01,biz_03,solo,0,S,1,Text 'TERMINATE' mentioned,11.0,62,556,618,2,1,keyword,,,
exp01,med_01,solo,0,S,1,Text 'TERMINATE' mentioned,11.11,60,620,680,2,1,keyword,,,
exp01,sci_01,rr3,0,A,3,Text 'TERMINATE' mentioned,55.08,9743,3347,13090,7,6,keyword,,,
exp01,sci_02,rr3,0,A,3,Text 'TERMINATE' mentioned,35.7,2852,1783,4635,4,3,keyword,,,
exp01,sci_03,rr3,0,A,3,"Maximum number of messages 10 reached, current message count: 10",105.15,23318,5360,28678,10,9,max_messages,,,
exp01,cs_01,rr3,0,A,3,Text 'TERMINATE' mentioned,33.28,2753,2063,4816,4,3,keyword,,,
exp01,cs_02,rr3,0,A,3,Text 'TERMINATE' mentioned,54.95,3252,2050,5302,4,3,keyword,,,
exp01,cs_03,rr3,0,A,3,Text 'TERMINATE' mentioned,94.22,12608,4713,17321,7,6,keyword,,,
exp01,hist_01,rr3,0,A,3,Text 'TERMINATE' mentioned,44.85,2582,2008,4590,4,3,keyword,,,
exp01,hist_02,rr3,0,A,3,Text 'TERMINATE' mentioned,31.62,2912,1821,4733,4,3,keyword,,,
exp01,hist_03,rr3,0,A,3,"Maximum number of messages 10 reached, current message count: 10",150.14,30476,7425,37901,10,9,max_messages,,,
exp01,phil_01,rr3,0,A,3,"Maximum number of messages 10 reached, current message count: 10",137.93,28318,6774,35092,10,9,max_messages,,,
exp01,phil_02,rr3,0,A,3,Text 'TERMINATE' mentioned,107.99,11587,4470,16057,7,6,keyword,,,
exp01,phil_03,rr3,0,A,3,Text 'TERMINATE' mentioned,45.07,2519,1565,4084,4,3,keyword,,,
exp01,law_01,rr3,0,A,3,Text 'TERMINATE' mentioned,85.8,9941,3759,13700,7,6,keyword,,,
