domain,pattern,n_runs,mean_tokens,std_tokens,mean_time,mean_turns,mean_tokens_out,tokens_per_turn,category
CS,debate3,3,8667.333333333334,1172.8189686960784,121.83666666666666,4.666666666666667,5321.0,1857.2857142857142,C
CS,pipe,3,13543.666666666666,2962.813752724483,113.69666666666666,6.333333333333333,6883.333333333333,2138.4736842105262,D
CS,refl2,3,4862.0,2348.597240907857,39.169999999999995,3.0,2757.6666666666665,1620.6666666666667,C
CS,rr3,3,13392.0,6912.23523905256,97.56666666666668,5.0,8874.666666666666,2678.4,A
CS,sel3,3,8538.666666666666,1997.4324352361293,91.35000000000001,3.6666666666666665,4506.0,2328.7272727272725,B1
CS,sel4,3,11604.333333333334,2277.071877067857,109.78666666666668,4.333333333333333,7321.666666666667,2677.923076923077,B1
CS,swm3,3,5269.666666666667,3069.607521057592,67.49333333333334,16.666666666666668,3456.3333333333335,316.18,B2
CS,swm4,3,7895.666666666667,4508.340308066077,119.63,25.333333333333332,4841.0,311.67105263157896,B2
business,debate3,3,8907.333333333334,2633.6143099044198,118.85666666666668,4.333333333333333,5584.0,2055.538461538462,C
business,pipe,3,15723.0,4148.9187748135055,149.97,6.333333333333333,11115.333333333334,2482.5789473684213,D
business,refl2,3,3550.0,902.0066518601734,42.98666666666667,3.0,2049.0,1183.3333333333333,C
business,rr3,3,15520.333333333334,14334.254962617812,140.08666666666667,5.0,11767.333333333334,3104.0666666666666,A
business,sel3,3,4362.0,372.1975282024318,58.24333333333333,3.0,2622.6666666666665,1454.0,B1
business,sel4,3,13894.0,5826.072690929972,153.01333333333332,4.666666666666667,10106.333333333334,2977.285714285714,B1
business,swm3,3,9162.666666666666,12890.449733555975,58.14333333333334,8.0,2882.6666666666665,1145.3333333333333,B2
business,swm4,3,14805.666666666666,5834.238796392665,169.3033333333333,27.333333333333332,5992.0,541.670731707317,B2
engineering,debate3,3,9804.666666666666,1437.7344446501006,130.74333333333334,4.666666666666667,6152.333333333333,2100.9999999999995,C
engineering,pipe,3,12213.666666666666,8458.709200187302,113.32666666666667,5.666666666666667,7617.666666666667,2155.3529411764703,D
engineering,refl2,3,5004.333333333333,1675.16009185192,50.29333333333333,3.0,2780.6666666666665,1668.111111111111,C
engineering,rr3,3,8802.666666666666,1050.221087835001,73.40666666666667,4.0,5268.333333333333,2200.6666666666665,A
engineering,sel3,3,12475.333333333334,5059.963669171285,127.91000000000001,4.0,8471.666666666666,3118.8333333333335,B1
engineering,sel4,3,17781.0,6533.203884772003,193.80666666666664,4.666666666666667,14994.666666666666,3810.2142857142853,B1
engineering,swm3,3,3938.6666666666665,2409.69797554244,57.51,12.666666666666666,2550.6666666666665,310.94736842105266,B2
