pattern,pattern_category,task_id,lambda,t_optimal,q_optimal,t_actual,q_actual,t_mu_zero,t_U_peak,U_peak,regret,q_loss
sel3,B1,fact_02,0.2,1,4.0,2,4.0,2,1,3.92,1,0.0
sel3,B1,fact_02,0.5,1,4.0,2,4.0,2,1,3.8,1,0.0
sel3,B1,fact_03,0.0,1,4.0,3,2.0,2,1,4.0,2,2.0
sel3,B1,fact_03,0.05,1,4.0,3,2.0,2,1,3.92085,2,2.0
sel3,B1,fact_03,0.1,1,4.0,3,2.0,2,1,3.8417,2,2.0
sel3,B1,fact_03,0.2,1,4.0,3,2.0,2,1,3.6834,2,2.0
sel3,B1,fact_03,0.5,1,4.0,3,2.0,2,1,3.2085,2,2.0
sel3,B1,fact_04,0.0,1,5.0,2,5.0,2,1,5.0,1,0.0
sel3,B1,fact_04,0.05,1,5.0,2,5.0,2,1,4.95495,1,0.0
sel3,B1,fact_04,0.1,1,5.0,2,5.0,2,1,4.9099,1,0.0
sel3,B1,fact_04,0.2,1,5.0,2,5.0,2,1,4.8198,1,0.0
sel3,B1,fact_04,0.5,1,5.0,2,5.0,2,1,4.5495,1,0.0
sel3,B1,fact_05,0.0,1,4.0,3,3.0,2,1,4.0,2,1.0
sel3,B1,fact_05,0.05,1,4.0,3,3.0,2,1,3.9017,2,1.0
sel3,B1,fact_05,0.1,1,4.0,3,3.0,2,1,3.8034,2,1.0
sel3,B1,fact_05,0.2,1,4.0,3,3.0,2,1,3.6068,2,1.0
sel3,B1,fact_05,0.5,1,4.0,3,3.0,2,1,3.017,2,1.0
sel3,B1,tech_01,0.0,1,3.0,3,2.0,2,1,3.0,2,1.0
sel3,B1,tech_01,0.05,1,3.0,3,2.0,2,1,2.50325,2,1.0
sel3,B1,tech_01,0.1,1,3.0,3,2.0,2,1,2.0065,2,1.0
sel3,B1,tech_01,0.2,1,3.0,3,2.0,2,1,1.013,2,1.0
sel3,B1,tech_01,0.5,1,3.0,3,2.0,2,1,-1.9675000000000002,2,1.0
sel3,B1,tech_02,0.0,1,3.0,3,3.0,2,1,3.0,2,0.0
sel3,B1,tech_02,0.05,1,3.0,3,3.0,2,1,2.7692,2,0.0
sel3,B1,tech_02,0.1,1,3.0,3,3.0,2,1,2.5384,2,0.0
sel3,B1,tech_02,0.2,1,3.0,3,3.0,2,1,2.0768,2,0.0
sel3,B1,tech_02,0.5,1,3.0,3,3.0,2,1,0.6920000000000002,2,0.0
sel3,B1,tech_03,0.0,1,3.0,3,2.0,2,1,3.0,2,1.0
sel3,B1,tech_03,0.05,1,3.0,3,2.0,2,1,2.85225,2,1.0
sel3,B1,tech_03,0.1,1,3.0,3,2.0,2,1,2.7045,2,1.0
sel3,B1,tech_03,0.2,1,3.0,3,2.0,2,1,2.409,2,1.0
sel3,B1,tech_03,0.5,1,3.0,3,2.0,2,1,1.5225,2,1.0
sel3,B1,tech_04,0.0,1,3.0,3,2.0,2,1,3.0,2,1.0
sel3,B1,tech_04,0.05,1,3.0,3,2.0,2,1,2.7672,2,1.0
sel3,B1,tech_04,0.1,1,3.0,3,2.0,2,1,2.5343999999999998,2,1.0
sel3,B1,tech_04,0.2,1,3.0,3,2.0,2,1,2.0688,2,1.0
sel3,B1,tech_04,0.5,1,3.0,3,2.0,2,1,0.6720000000000002,2,1.0
sel3,B1,tech_05,0.0,1,3.0,3,2.0,2,1,3.0,2,1.0
sel3,B1,tech_05,0.05,1,3.0,3,2.0,2,1,2.65335,2,1.0
sel3,B1,tech_05,0.1,1,3.0,3,2.0,2,1,2.3067,2,1.0
sel3,B1,tech_05,0.2,1,3.0,3,2.0,2,1,1.6134,2,1.0
sel3,B1,tech_05,0.5,1,3.0,3,2.0,2,1,-0.4664999999999999,2,1.0
swm3,B2,anal_01,0.0,1,4.0,1,4.0,1,1,4.0,0,0.0
swm3,B2,anal_01,0.05,1,4.0,1,4.0,1,1,3.98095,0,0.0
swm3,B2,anal_01,0.1,1,4.0,1,4.0,1,1,3.9619,0,0.0
swm3,B2,anal_01,0.2,1,4.0,1,4.0,1,1,3.9238,0,0.0
swm3,B2,anal_01,0.5,1,4.0,1,4.0,1,1,3.8095,0,0.0
swm3,B2,anal_02,0.0,1,4.0,1,4.0,1,1,4.0,0,0.0
swm3,B2,anal_02,0.05,1,4.0,1,4.0,1,1,3.98155,0,0.0
swm3,B2,anal_02,0.1,1,4.0,1,4.0,1,1,3.9631,0,0.0
swm3,B2,anal_02,0.2,1,4.0,1,4.0,1,1,3.9262,0,0.0
swm3,B2,anal_02,0.5,1,4.0,1,4.0,1,1,3.8155,0,0.0
swm3,B2,anal_03,0.0,1,4.0,1,4.0,1,1,4.0,0,0.0
swm3,B2,anal_03,0.05,1,4.0,1,4.0,1,1,3.9779,0,0.0
swm3,B2,anal_03,0.1,1,4.0,1,4.0,1,1,3.9558,0,0.0
swm3,B2,anal_03,0.2,1,4.0,1,4.0,1,1,3.9116,0,0.0
swm3,B2,anal_03,0.5,1,4.0,1,4.0,1,1,3.779,0,0.0
swm3,B2,anal_04,0.0,1,4.0,1,4.0,1,1,4.0,0,0.0
swm3,B2,anal_04,0.05,1,4.0,1,4.0,1,1,3.9773,0,0.0
swm3,B2,anal_04,0.1,1,4.0,1,4.0,1,1,3.9546,0,0.0
swm3,B2,anal_04,0.2,1,4.0,1,4.0,1,1,3.9092,0,0.0
swm3,B2,anal_04,0.5,1,4.0,1,4.0,1,1,3.773,0,0.0
swm3,B2,anal_05,0.0,1,4.0,1,4.0,1,1,4.0,0,0.0
swm3,B2,anal_05,0.05,1,4.0,1,4.0,1,1,3.9784,0,0.0
swm3,B2,anal_05,0.1,1,4.0,1,4.0,1,1,3.9568,0,0.0
swm3,B2,anal_05,0.2,1,4.0,1,4.0,1,1,3.9136,0,0.0
swm3,B2,anal_05,0.5,1,4.0,1,4.0,1,1,3.784,0,0.0
swm3,B2,crea_01,0.0,1,5.0,1,5.0,1,1,5.0,0,0.0
swm3,B2,crea_01,0.05,1,5.0,1,5.0,1,1,4.9809,0,0.0
swm3,B2,crea_01,0.1,1,5.0,1,5.0,1,1,4.9618,0,0.0
swm3,B2,crea_01,0.2,1,5.0,1,5.0,1,1,4.9236,0,0.0
swm3,B2,crea_01,0.5,1,5.0,1,5.0,1,1,4.809,0,0.0
swm3,B2,crea_02,0.0,1,4.0,1,4.0,1,1,4.0,0,0.0
swm3,B2,crea_02,0.05,1,4.0,1,4.0,1,1,3.9885,0,0.0
swm3,B2,crea_02,0.1,1,4.0,1,4.0,1,1,3.977,0,0.0
swm3,B2,crea_02,0.2,1,4.0,1,4.0,1,1,3.954,0,0.0
swm3,B2,crea_02,0.5,1,4.0,1,4.0,1,1,3.885,0,0.0
swm3,B2,crea_03,0.0,1,5.0,1,5.0,1,1,5.0,0,0.0
swm3,B2,crea_03,0.05,1,5.0,1,5.0,1,1,4.9831,0,0.0
swm3,B2,crea_03,0.1,1,5.0,1,5.0,1,1,4.9662,0,0.0
swm3,B2,crea_03,0.2,1,5.0,1,5.0,1,1,4.9324,0,0.0
swm3,B2,crea_03,0.5,1,5.0,1,5.0,1,1,4.831,0,0.0
swm3,B2,crea_04,0.0,1,5.0,1,5.0,1,1,5.0,0,0.0
swm3,B2,crea_04,0.05,1,5.0,1,5.0,1,1,4.9771,0,0.0
swm3,B2,crea_04,0.1,1,5.0,1,5.0,1,1,4.9542,0,0.0
swm3,B2,crea_04,0.2,1,5.0,1,5.0,1,1,4.9084,0,0.0
swm3,B2,crea_04,0.5,1,5.0,1,5.0,1,1,4.771,0,0.0
swm3,B2,crea_05,0.0,1,5.0,2,4.0,2,1,5.0,1,1.0
swm3,B2,crea_05,0.05,1,5.0,2,4.0,2,1,4.97285,1,1.0
swm3,B2,crea_05,0.1,1,5.0,2,4.0,2,1,4.9457,1,1.0
swm3,B2,crea_05,0.2,1,5.0,2,4.0,2,1,4.8914,1,1.0
swm3,B2,crea_05,0.5,1,5.0,2,4.0,2,1,4.7285,1,1.0
swm3,B2,fact_01,0.0,1,4.0,1,4.0,1,1,4.0,0,0.0
swm3,B2,fact_01,0.05,1,4.0,1,4.0,1,1,3.98305,0,0.0
swm3,B2,fact_01,0.1,1,4.0,1,4.0,1,1,3.9661,0,0.0
swm3,B2,fact_01,0.2,1,4.0,1,4.0,1,1,3.9322,0,0.0
swm3,B2,fact_01,0.5,1,4.0,1,4.0,1,1,3.8305,0,0.0
swm3,B2,fact_02,0.0,1,5.0,1,5.0,1,1,5.0,0,0.0
swm3,B2,fact_02,0.05,1,5.0,1,5.0,1,1,4.9848,0,0.0
swm3,B2,fact_02,0.1,1,5.0,1,5.0,1,1,4.9696,0,0.0
swm3,B2,fact_02,0.2,1,5.0,1,5.0,1,1,4.9392,0,0.0
swm3,B2,fact_02,0.5,1,5.0,1,5.0,1,1,4.848,0,0.0
swm3,B2,fact_03,0.0,1,4.0,2,3.0,2,1,4.0,1,1.0
swm3,B2,fact_03,0.05,1,4.0,2,3.0,2,1,3.98345,1,1.0
swm3,B2,fact_03,0.1,1,4.0,2,3.0,2,1,3.9669,1,1.0
swm3,B2,fact_03,0.2,1,4.0,2,3.0,2,1,3.9338,1,1.0
swm3,B2,fact_03,0.5,1,4.0,2,3.0,2,1,3.8345,1,1.0
swm3,B2,fact_04,0.0,1,5.0,1,5.0,1,1,5.0,0,0.0
swm3,B2,fact_04,0.05,1,5.0,1,5.0,1,1,4.984,0,0.0
swm3,B2,fact_04,0.1,1,5.0,1,5.0,1,1,4.968,0,0.0
swm3,B2,fact_04,0.2,1,5.0,1,5.0,1,1,4.936,0,0.0
swm3,B2,fact_04,0.5,1,5.0,1,5.0,1,1,4.84,0,0.0
swm3,B2,fact_05,0.0,1,5.0,1,5.0,1,1,5.0,0,0.0
swm3,B2,fact_05,0.05,1,5.0,1,5.0,1,1,4.9791,0,0.0
swm3,B2,fact_05,0.1,1,5.0,1,5.0,1,1,4.9582,0,0.0
swm3,B2,fact_05,0.2,1,5.0,1,5.0,1,1,4.9164,0,0.0
swm3,B2,fact_05,0.5,1,5.0,1,5.0,1,1,4.791,0,0.0
swm3,B2,tech_01,0.0,1,3.0,1,3.0,1,1,3.0,0,0.0
swm3,B2,tech_01,0.05,1,3.0,1,3.0,1,1,2.98075,0,0.0
swm3,B2,tech_01,0.1,1,3.0,1,3.0,1,1,2.9615,0,0.0
swm3,B2,tech_01,0.2,1,3.0,1,3.0,1,1,2.923,0,0.0
swm3,B2,tech_01,0.5,1,3.0,1,3.0,1,1,2.8075,0,0.0
swm3,B2,tech_02,0.0,1,4.0,1,4.0,1,1,4.0,0,0.0
swm3,B2,tech_02,0.05,1,4.0,1,4.0,1,1,3.979,0,0.0
swm3,B2,tech_02,0.1,1,4.0,1,4.0,1,1,3.958,0,0.0
swm3,B2,tech_02,0.2,1,4.0,1,4.0,1,1,3.916,0,0.0
swm3,B2,tech_02,0.5,1,4.0,1,4.0,1,1,3.79,0,0.0
swm3,B2,tech_03,0.0,1,4.0,1,4.0,1,1,4.0,0,0.0
swm3,B2,tech_03,0.05,1,4.0,1,4.0,1,1,3.97925,0,0.0
swm3,B2,tech_03,0.1,1,4.0,1,4.0,1,1,3.9585,0,0.0
swm3,B2,tech_03,0.2,1,4.0,1,4.0,1,1,3.917,0,0.0
swm3,B2,tech_03,0.5,1,4.0,1,4.0,1,1,3.7925,0,0.0
swm3,B2,tech_04,0.0,1,2.0,4,2.0,2,1,2.0,3,0.0
swm3,B2,tech_04,0.05,1,2.0,4,2.0,2,1,1.98135,3,0.0
swm3,B2,tech_04,0.1,1,2.0,4,2.0,2,1,1.9627,3,0.0
swm3,B2,tech_04,0.2,1,2.0,4,2.0,2,1,1.9254,3,0.0
swm3,B2,tech_04,0.5,1,2.0,4,2.0,2,1,1.8135,3,0.0
swm3,B2,tech_05,0.0,1,3.0,1,3.0,1,1,3.0,0,0.0
swm3,B2,tech_05,0.05,1,3.0,1,3.0,1,1,2.9773,0,0.0
swm3,B2,tech_05,0.1,1,3.0,1,3.0,1,1,2.9546,0,0.0
swm3,B2,tech_05,0.2,1,3.0,1,3.0,1,1,2.9092,0,0.0
swm3,B2,tech_05,0.5,1,3.0,1,3.0,1,1,2.773,0,0.0
