experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp02,fact_01,rr3,0,A,3,Text 'TERMINATE' mentioned,46.7,2244,1978,4222,4,3,keyword,,5,
exp02,fact_02,rr3,0,A,3,Text 'TERMINATE' mentioned,126.92,5037,8042,13079,7,6,keyword,,4,
exp02,fact_03,rr3,0,A,3,Text 'TERMINATE' mentioned,126.35,8660,10829,19489,7,6,keyword,,5,
exp02,fact_04,rr3,0,A,3,Text 'TERMINATE' mentioned,47.99,3244,2595,5839,4,3,keyword,,5,
exp02,fact_05,rr3,0,A,3,Text 'TERMINATE' mentioned,52.3,4070,3213,7283,4,3,keyword,,5,
exp02,crea_01,rr3,0,A,3,Text 'TERMINATE' mentioned,193.74,8467,12327,20794,7,6,keyword,,4,
exp02,crea_02,rr3,0,A,3,Text 'TERMINATE' mentioned,43.26,2269,1669,3938,4,3,keyword,,5,
exp02,crea_03,rr3,0,A,3,Text 'TERMINATE' mentioned,78.37,1769,5619,7388,4,3,keyword,,4,
exp02,crea_04,rr3,0,A,3,Text 'TERMINATE' mentioned,291.71,1899,25507,27406,7,6,keyword,,4,
exp02,crea_05,rr3,0,A,3,Text 'TERMINATE' mentioned,53.98,2483,2227,4710,4,3,keyword,,5,
exp02,anal_01,rr3,0,A,3,Text 'TERMINATE' mentioned,54.67,3976,2943,6919,4,3,keyword,,4,
exp02,anal_02,rr3,0,A,3,Text 'TERMINATE' mentioned,220.08,5035,17390,22425,7,6,keyword,,4,
exp02,anal_03,rr3,0,A,3,Text 'TERMINATE' mentioned,67.97,4683,3955,8638,4,3,keyword,,4,
exp02,anal_04,rr3,0,A,3,Text 'TERMINATE' mentioned,273.29,1838,28301,30139,7,6,keyword,,4,
exp02,anal_05,rr3,0,A,3,Text 'TERMINATE' mentioned,59.68,5632,4520,10152,4,3,keyword,,4,
exp02,tech_01,rr3,0,A,3,Text 'TERMINATE' mentioned,207.11,81,24899,24980,7,6,keyword,,4,
exp02,tech_02,rr3,0,A,3,Text 'TERMINATE' mentioned,102.41,69,12151,12220,4,3,keyword,,5,
exp02,tech_03,rr3,0,A,3,Text 'TERMINATE' mentioned,69.13,2332,6323,8655,4,3,keyword,,5,
exp02,tech_04,rr3,0,A,3,Text 'TERMINATE' mentioned,197.79,3450,22741,26191,7,6,keyword,,4,
exp02,tech_05,rr3,0,A,3,Text 'TERMINATE' mentioned,111.26,76,14436,14512,4,3,keyword,,5,
exp02,fact_01,sel3,0,B,3,Text 'TERMINATE' mentioned,91.87,2736,3206,5942,4,3,keyword,,2,
exp02,fact_02,sel3,0,B,3,Text 'TERMINATE' mentioned,50.15,537,924,1461,3,2,keyword,,4,
