pattern,task_id,category,lambda_val,baseline_turns,adaptive_turns,turn_reduction,baseline_tokens,adaptive_tokens,cost_savings,stopped_by
debate3,cs_02,C,0.1,4,4,0.0,8733,11041,-0.26428489637009045,
debate3,cs_03,C,0.1,4,4,0.0,4805,6442,-0.3406867845993756,
debate3,hist_01,C,0.1,5,4,0.2,10578,3818,0.6390622045755341,
debate3,hist_02,C,0.1,5,4,0.2,9840,3838,0.609959349593496,
debate3,hist_03,C,0.1,5,4,0.2,11081,6575,0.4066419998195109,
debate3,phil_01,C,0.1,4,4,0.0,4328,4367,-0.009011090573012939,
debate3,phil_02,C,0.1,4,4,0.0,8860,7651,0.13645598194130926,
debate3,phil_03,C,0.1,5,4,0.2,11187,4875,0.5642263341378385,
debate3,law_01,C,0.1,5,4,0.2,9042,5598,0.38088918380889186,
debate3,law_02,C,0.1,4,4,0.0,8960,10552,-0.17767857142857144,
debate3,law_03,C,0.1,4,4,0.0,7767,7916,-0.019183726020342476,
debate3,game_01,C,0.1,4,4,0.0,6616,5726,0.13452237001209189,
debate3,game_02,C,0.1,4,4,0.0,9066,8783,0.031215530553717185,
debate3,game_03,C,0.1,5,4,0.2,11810,10017,0.15182049110922946,
debate3,eng_01,C,0.1,4,4,0.0,8833,11812,-0.33725800973621645,
debate3,eng_02,C,0.1,4,4,0.0,8464,12684,-0.4985822306238185,
debate3,eng_03,C,0.1,4,4,0.0,6812,8947,-0.31341749853200235,
debate3,biz_01,C,0.1,5,4,0.2,11837,13051,-0.10255977021204697,
debate3,biz_02,C,0.1,4,4,0.0,6572,6877,-0.04640900791235545,
debate3,biz_03,C,0.1,5,4,0.2,14667,8551,0.41699052294266037,
debate3,med_01,C,0.1,4,4,0.0,5560,7143,-0.2847122302158273,
pipe,sci_01,D,0.1,6,7,-0.16666666666666666,5992,13001,-1.1697263017356476,keyword
pipe,sci_02,D,0.1,6,6,0.0,12740,11567,0.09207221350078493,keyword
pipe,sci_03,D,0.1,6,7,-0.16666666666666666,7672,11504,-0.4994786235662148,keyword
pipe,cs_01,D,0.1,6,6,0.0,6241,9846,-0.5776317897772792,keyword
pipe,cs_02,D,0.1,6,6,0.0,15362,12920,0.15896367660460878,keyword
pipe,cs_03,D,0.1,5,7,-0.4,7422,23397,-2.152384801940178,keyword
pipe,hist_01,D,0.1,5,5,0.0,4019,4744,-0.18039313262005474,keyword
pipe,hist_02,D,0.1,5,5,0.0,9769,8004,0.1806735592179343,keyword
pipe,hist_03,D,0.1,7,6,0.14285714285714285,12235,10480,0.14344094809971394,keyword
pipe,phil_01,D,0.1,5,5,0.0,6526,5508,0.15599141893962612,keyword
pipe,phil_02,D,0.1,5,3,0.4,9151,1574,0.827996940225112,keyword
pipe,phil_03,D,0.1,6,6,0.0,7536,7539,-0.0003980891719745223,keyword
