pattern,task_id,category,lambda_val,baseline_turns,adaptive_turns,turn_reduction,baseline_tokens,adaptive_tokens,cost_savings,stopped_by
rr3,hist_01,A,0.1,4,4,0.0,4162,4525,-0.08721768380586256,
rr3,hist_02,A,0.1,10,4,0.6,28718,5167,0.8200779998607145,
rr3,hist_03,A,0.1,7,4,0.42857142857142855,19712,8924,0.5472808441558441,
rr3,phil_01,A,0.1,4,4,0.0,4135,6270,-0.5163240628778718,
rr3,phil_02,A,0.1,4,4,0.0,7829,8831,-0.12798569421382042,
rr3,phil_03,A,0.1,4,4,0.0,7860,9849,-0.25305343511450384,
rr3,law_01,A,0.1,4,4,0.0,6710,6660,0.007451564828614009,
rr3,law_02,A,0.1,4,4,0.0,11995,14911,-0.24310129220508545,
rr3,law_03,A,0.1,4,4,0.0,10096,10920,-0.08161648177496038,
rr3,game_01,A,0.1,4,4,0.0,8743,6751,0.2278394143886538,
rr3,game_02,A,0.1,4,4,0.0,18053,13928,0.228493879133662,
rr3,game_03,A,0.1,4,4,0.0,10042,9813,0.02280422226648078,
rr3,eng_01,A,0.1,4,4,0.0,11450,8873,0.22506550218340612,
rr3,eng_02,A,0.1,4,4,0.0,10969,8963,0.18287902270033732,
rr3,eng_03,A,0.1,7,4,0.42857142857142855,20396,7465,0.6339968621298294,
