experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp01,tech_01,moa,2,D,4,"Maximum number of messages 2 reached, current message count: 2",148.28,245,48548,48793,11,7,max_messages,,,
exp01,tech_02,moa,0,D,4,"Maximum number of messages 2 reached, current message count: 2",173.95,236,43818,44054,11,7,max_messages,,,
exp01,tech_02,moa,1,D,4,"Maximum number of messages 2 reached, current message count: 2",160.6,236,37923,38159,11,7,max_messages,,,
exp01,tech_02,moa,2,D,4,"Maximum number of messages 2 reached, current message count: 2",165.26,236,38300,38536,11,7,max_messages,,,
exp01,tech_03,moa,0,D,4,"Maximum number of messages 2 reached, current message count: 2",92.5,9908,19896,29804,11,7,max_messages,,,
exp01,tech_03,moa,1,D,4,"Maximum number of messages 2 reached, current message count: 2",82.04,8751,18103,26854,11,7,max_messages,,,
exp01,tech_03,moa,2,D,4,"Maximum number of messages 2 reached, current message count: 2",99.89,9591,23006,32597,11,7,max_messages,,,
exp01,tech_04,moa,0,D,4,"Maximum number of messages 2 reached, current message count: 2",108.4,6878,21201,28079,11,7,max_messages,,,
exp01,tech_04,moa,1,D,4,"Maximum number of messages 2 reached, current message count: 2",108.28,7978,25357,33335,11,7,max_messages,,,
exp01,tech_04,moa,2,D,4,"Maximum number of messages 2 reached, current message count: 2",102.62,9570,20926,30496,11,7,max_messages,,,
exp01,tech_05,moa,0,D,4,"Maximum number of messages 2 reached, current message count: 2",152.92,257,44515,44772,11,7,max_messages,,,
exp01,tech_05,moa,1,D,4,"Maximum number of messages 2 reached, current message count: 2",138.87,257,37656,37913,11,7,max_messages,,,
exp01,tech_05,moa,2,D,4,"Maximum number of messages 2 reached, current message count: 2",149.85,257,43949,44206,11,7,max_messages,,,
